"13.","Olga Davydova","https://athletes.aidainternational.org/Profile-8a749658-722e-479b-a9f1-dfa41c7b245f","(Russian Federation)","557.1","66.6","80","75","49.5","81","70","60","75"
"14.","Stig Pryds","https://athletes.aidainternational.org/Profile-632ec69f-b487-48d8-a820-10376e5e21ce","(Denmark)","550.9","81.4","100","-","87.5","105","-","75","102"
"15.","Phil Clayton","https://athletes.aidainternational.org/Profile-ab893720-727a-4e18-98c1-14dce58ff4bd","(New Zealand)","549.5","72","100","76.5","75","60","55","51","60"
"16.","Alena Konecna","https://athletes.aidainternational.org/Profile-c1e4ecb9-26c7-43ba-bf02-4846e5bdf20a","(Czech Republic)","549.4","76.4","83","-","73","97","85","54","81"
"17.","Rune Hallum","https://athletes.aidainternational.org/Profile-1dba4d95-cbe9-43c1-aa7f-4e5b51700865","(Denmark)","548","95","118","-","100","86","-","68","81"
"18.","Paul Wai-Kei Sack","https://athletes.aidainternational.org/Profile-314a63fb-83ec-4a76-819f-9c8ebe7f61fc","(Malaysia)","547.9","75.4","75","75","56.5","70","66","58","72"
"19.","Erki Enkvist","https://athletes.aidainternational.org/Profile-1300f3a7-9a11-470b-a199-3bb9f488c6f9","(Estonia)","546.2","77.2","101.5","80","76.5","57","47","47","60"
"20.","Amber Bourke","https://athletes.aidainternational.org/Profile-9545dbaa-46ea-4ff6-8d70-23dd0b3b42b7","(Australia)","546.1","68.6","100","84.5","82","70","-","68","73"
"1.","Alenka Artnik","https://athletes.aidainternational.org/Profile-bb4aa3ec-e87a-48f5-9a6c-ece92e3d95db","(Slovenia)","546","67","90.5","-","62.5","105","92","54","75"
"2.","Marcin Baranowski","https://athletes.aidainternational.org/Profile-9e806e8e-1972-4e26-ab89-47febc2a14f5","(Poland)","545.4","74.4","99.5","81.5","80","51","60","46","53"
"3.","Ken Kiriyama","https://athletes.aidainternational.org/Profile-e631aada-c382-4bfa-bf3e-d4f869d27578","(Japan)","544.4","74.4","98.5","-","65.5","86","70","67","83"
"4.","Jihoon Jang","https://athletes.aidainternational.org/Profile-a530387d-b341-4dfb-a787-38af42838c14","(Republic of Korea)","540.8","76.8","-","75","55","94","84","63","93"
"5.","Walter Steyn","https://athletes.aidainternational.org/Profile-9f48c69f-827c-414c-ac3f-50b27d07d219","(Australia)","537.3","84.8","103","-","87.5","106","-","74","82"
"6.","Christos Papadopoulos","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000bab","(Greece)","536.2","72.2","113.5","59","55.5","90","76","-","70"
"7.","Christos Karelos","https://athletes.aidainternational.org/Profile-6b42afb5-0c87-4271-8128-d786c9d2553f","(Greece)","533.7","81.2","100.5","99.5","53.5","75","83","41","-"
"8.","Christian Maldamé","https://athletes.aidainternational.org/Profile-5a929cbc-9b7c-40f1-8f10-d64e44243711","(France)","529.6","85.6","100","-","75","101","-","75","93"
"9.","Kathryn Nevatt","https://athletes.aidainternational.org/Profile-a9846cd8-6635-4d57-9b7c-39765946198e","(New Zealand)","529","93","100","78.5","82.5","65","-","52","58"
"10.","Guillaume Néry","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000001dd","(France)","528.1","80.6","87.5","-","53","126","-","78","103"
"11.","Max Lindqvist","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000c41","(Sweden)","527.4","72.4","92.5","75","64.5","93","-","55","75"
"12.","Michael Board","https://athletes.aidainternational.org/Profile-8fe21cab-afda-4112-9bae-fa8204fa4648","(United Kingdom)","527","83","103","-","65","111","-","63","102"
"13.","Mariko Miyamura-Kaji","https://athletes.aidainternational.org/Profile-32da7298-b739-4a9a-a82c-495b9c7b83e4","(Japan)","526.3","67.8","65","75","64.5","72","60","57","65"
"14.","Boris Milosic","https://athletes.aidainternational.org/Profile-f46798d8-aa12-4581-94fa-259d01990dff","(Croatia)","525.8","78.8","106","117","85","84","-","-","55"
"15.","Ryuzo Shinomiya","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000ae","(Japan)","521","89","101.5","-","45.5","115","-","66","104"
"16.","Giorgos Panagiotakis","https://athletes.aidainternational.org/Profile-1e11821c-8bcc-49e0-b5e0-846749ce0c77","(Greece)","520.2","105.2","150","-","70","103","-","-","92"
"17.","Misuzu Okamoto","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000012af","(Japan)","520.1","72.6","94.5","63","57","95","66","-","72"
"18.","Mikhail Briantcev","https://athletes.aidainternational.org/Profile-cd5daa09-0832-4971-9abc-7c76fd7801c8","(Russian Federation)","518.9","84.4","133","126.5","77","47","-","-","51"
"19.","Agnieszka Kalska","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000010d3","(Poland)","517.8","85.8","126.5","92.5","90","45","-","30","48"
"20.","Mikko Pöntinen","https://athletes.aidainternational.org/Profile-cfbe9c49-1355-48b9-8088-6cc94002a4aa","(Finland)","514.3","90.8","127","-","90.5","85","-","50","71"
"1.","Tony Helm","https://athletes.aidainternational.org/Profile-ecf96ed5-cc8d-4e62-9bfa-a94dbc045d30","(Greece)","513.9","73.4","92.5","93.5","62.5","81","-","46","65"
"2.","Sofia Tapani","https://athletes.aidainternational.org/Profile-8885d177-2c66-44e5-9c72-4687af64f36a","(Sweden)","508.5","67","100","-","72.5","70","74","51","74"
"3.","Anna-Marie Christiansen","https://athletes.aidainternational.org/Profile-338103e4-59f9-4cb3-b5a7-48d952ab46ea","(Denmark)","506.7","80.2","102","80","78.5","57","-","52","57"
"4.","Jacob Hansen","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000008b5","(Denmark)","506.2","91.2","106","-","77","96","-","56","80"
"5.","Antero Joki","https://athletes.aidainternational.org/Profile-30a060c0-03ca-4b06-8b8f-383ea55369b4","(Finland)","503.6","88.6","91","-","64","100","-","73","87"
"6.","Tomas Jonsson","https://athletes.aidainternational.org/Profile-dfb2363a-2895-4f06-bf76-7d67a9cc7aaa","(Sweden)","502.5","89","111","82","78.5","56","-","42","44"
"7.","Veljano Zanki","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000006b7","(Croatia)","501.9","116.4","115.5","-","71","107","-","-","92"
"8.","Alon Rivkind","https://athletes.aidainternational.org/Profile-6059ceff-1ec4-46a8-96f6-bcc9c5a01a01","(Israel)","500.7","50.2","100","-","62.5","93","66","54","75"
"9.","Pepe Salcedo","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001437","(Mexico)","498.3","61.8","66.5","-","51","86","84","64","85"
"10.","Andrej Ropret","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000ca5","(Slovenia)","497.1","108.6","126.5","-","88","64","-","45","65"
"11.","Shinya Oi","https://athletes.aidainternational.org/Profile-9caf65ef-c007-4707-afb1-b9995d7d12ca","(Japan)","497","85","113.5","90.5","85","45","-","35","43"
"12.","Yury Shmatko","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000074c","(Russian Federation)","494.7","84.2","109","-","78.5","91","-","57","75"
"13.","Jesper Lauridsen","https://athletes.aidainternational.org/Profile-4db00886-48fa-479c-b6ab-4ca584426883","(Denmark)","491.1","66.6","80.5","83","78","57","-","60","66"
"14.","Stig Åvall Severinsen","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000044","(Denmark)","490.5","104","112.5","-","93","64","-","61","56"
"15.","Aleix Segura Vendrell","https://athletes.aidainternational.org/Profile-098a7a5a-46df-4942-8059-5f6d2fa7ec49","(Spain)","490.4","121.4","101.5","-","87.5","60","-","50","70"
"16.","Jure Daic","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000049a","(Slovenia)","489.2","81.2","93.5","-","70.5","91","-","67","86"
"17.","Antony Judge","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000d5","(Australia)","489","87","91.5","-","75.5","83","-","65","87"
"18.","Anna Von Boetticher","https://athletes.aidainternational.org/Profile-8c298761-d82b-4f4e-8ad4-9f2558eada5f","(Germany)","487.9","74.4","82","-","53.5","81","66","55","76"
"19.","Martin Zapanta","https://athletes.aidainternational.org/Profile-af62b4e2-a048-4012-afcd-8e9c6026f27d","(Philippines)","487.6","65.6","78","52","52","60","63","50","67"
"20.","Dimitris Chatziaslan","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000005d1","(Greece)","486.1","90.6","79","-","69.5","93","-","63","91"
"1.","David Mulheron","https://athletes.aidainternational.org/Profile-cb971455-097f-49af-9eb1-7a68100710e1","(Australia)","486.1","82.6","75","61","57.5","61","86","49","14"
"2.","Guillaume Bussiere","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000e85","(France)","485.1","71.6","138.5","-","94","91","-","-","90"
"3.","Claire Beatrix Paris","https://athletes.aidainternational.org/Profile-120037d8-ea6b-4fee-b923-89d1cc4acc82","(United States)","484.3","72.8","93.5","71","64","63","-","50","70"
"4.","Johan Thelaus","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000248","(Sweden)","482.3","84.8","86","-","55.5","101","-","68","87"
"5.","Yulia Maryevich","https://athletes.aidainternational.org/Profile-bf6f2053-292d-4042-813e-75a255e9199b","(Latvia)","482.2","67.2","79.5","60.5","52","65","56","42","60"
"6.","Piero Giobbi","https://athletes.aidainternational.org/Profile-8f1ccbc7-afad-4f4f-86a7-9c53d41af96b","(Sweden)","481","79","90","-","68","90","-","72","82"
"7.","Jingzhe Li","https://athletes.aidainternational.org/Profile-0d6ed9c3-0a4d-468c-8393-47992242c4e7","(China)","480.7","72.2","79.5","49.5","40.5","70","66","33","70"
"8.","Timothy Oehmigen","https://athletes.aidainternational.org/Profile-7dc39323-95c0-4054-9e3c-2da35148d878","(Germany)","480.3","68.8","85.5","-","75","93","-","67","91"
"9.","Carlos Coste","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000070","(Venezuela)","479.5","86","107.5","-","-","116","-","69","101"
"10.","Dimitris Koumoulos","https://athletes.aidainternational.org/Profile-c5a2f48e-51a6-48df-817e-c30c4d73f3db","(Greece)","479.2","72.2","90","75.5","66.5","60","-","55","60"
"11.","Viktor Reshetniak","https://athletes.aidainternational.org/Profile-92172783-3401-41b7-a43d-e7a3c4a4f5eb","(Ukraine)","478.7","80.2","100","-","66.5","100","-","50","82"
"12.","Robert Cetler","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000001f0","(Poland)","477.9","104.4","112","-","81.5","70","-","43","67"
"13.","Daniel Hurst","https://athletes.aidainternational.org/Profile-293d1078-caf3-4504-97ee-4b17c599c5b0","(Australia)","477","62","75","55","40","77","83","35","50"
"14.","Nathaniel Leazer","https://athletes.aidainternational.org/Profile-8b8a1bcb-b4e5-4545-80bb-1663b69ba667","(United States)","475.4","86.4","75","-","65","70","49","60","70"
"15.","Hanako Hirose","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000701","(Japan)","474.1","84.6","98.5","-","64","106","-","45","76"
"16.","Martin Stepanek","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000092","(Czech Republic)","473.1","86.6","78.5","-","-","122","-","80","106"
"17.","Natalia Zharkova","https://athletes.aidainternational.org/Profile-aafce31a-387b-435f-8c0f-8f7f2112c3a8","(Ukraine)","469.4","72.4","86","-","66","95","-","68","82"
"18.","Alessia Zecchini","https://athletes.aidainternational.org/Profile-27ee09ed-33d6-45d6-8c45-5f125f0bee55","(Italy)","469.3","79.8","111.5","-","-","107","-","73","98"
