"Xibalba 2019","https://events.aidainternational.org/EventDetails-2273","Depth Competition","Cenote Ucil","Yucatan, Mexico","2019-04-23","2019-04-28","",""
"2019 Singapore Open Pool Competition","https://events.aidainternational.org/EventDetails-2354","Pool Competition","Singapore Sports School","Singapore, Singapore","2019-04-15","2019-04-15","",""
"Aγωνας Στατικης & Δυναμικης απνοιας εις μνημην Θαναση Μακαρωνα","https://events.aidainternational.org/EventDetails-2385","Pool Competition","Pagritio Stadium","Heraklion, Greece","2019-04-14","2019-04-14","",""
"6th Burgebracher Kelch","https://events.aidainternational.org/EventDetails-2279","Pool Competition","Burgebrach","Burgebrach, Germany","2019-04-13","2019-04-13","",""
"Russian Open pool Championship 2019 in honor of Natalia Molchanova","https://events.aidainternational.org/EventDetails-2337","Pool Competition","Rgufk Pool","Moscow, Russian Federation","2019-03-07","2019-03-11","Registration Closed","EventRegistration-47"
"Indoor spring apneacup III 2019","https://events.aidainternational.org/EventDetails-2302","Pool Competition","Centre Sportiv De Grand-Vennes","Lausanne, Switzerland","2019-03-03","2019-03-03","",""
"7th Tyrolean Apnea Cup","https://events.aidainternational.org/EventDetails-2088","Pool Competition","Universitäts Sport Institut","Innsbruck, Austria","2019-02-24","2019-02-24","",""
"13th Serbian Open Freediving Championship - Belgrade 2019","https://events.aidainternational.org/EventDetails-2300","Pool Competition","Srpc. Milan Gale Muskatriovic","Belgrade, Serbia","2019-02-23","2019-02-23","",""
"Riga Freediving Cup 2019 AIDA","https://events.aidainternational.org/EventDetails-2294","Pool Competition","Keizarmezs Sport Center","Riga, Latvia","2019-02-09","2019-02-11","",""
"Thessaloniki Mini Comp 2018","https://events.aidainternational.org/EventDetails-2295","Pool Competition","Pool Sport Centre- Thessaloniki","Thessaloniki, Greece","2018-12-15","2018-12-16","",""
"XI Barbórkowy Puchar Śląska we Freediving | IX Silesia Freediving Pool Cup","https://events.aidainternational.org/EventDetails-2232","Pool Competition","Pływalnia Kryta Mosir","Rybnik, Poland","2018-12-07","2018-12-08","",""
"Kiev Freediving Cup 2018","https://events.aidainternational.org/EventDetails-2255","Pool Competition","Pool "Olympic" 25m , Pool "Kupava" 50m","Kyiv, Ukraine","2018-11-24","2018-11-25","",""
"Blue Element 2018","https://events.aidainternational.org/EventDetails-2254","Depth Competition","Soufriere Bay","Soufriere, Dominica","2018-11-23","2018-11-30","",""
"BELARUS FREEDIVING CUP 2018","https://events.aidainternational.org/EventDetails-2230","Pool Competition","The Pool Of Physical Education University","Minsk, Belarus","2018-11-17","2018-11-18","",""
"Red C cup (12th edition)","https://events.aidainternational.org/EventDetails-2158","Mixed Competition","Aqua Marina","Dahab, Egypt","2018-10-22","2018-10-25","",""
"Apnea Association of Singapore Depth Championship 2018","https://events.aidainternational.org/EventDetails-2134","Depth Competition","Apnea Bali","Tulamben , Indonesia","2018-09-20","2018-09-23","",""
"Molchanova Grand Prix","https://events.aidainternational.org/EventDetails-2213","Depth Competition","Ses Margalides (Cwt); Es Vedra (Cnf)","Ibiza, Spain","2018-09-18","2018-09-23","",""
"Authentic Big Blue 2018","https://events.aidainternational.org/EventDetails-2042","Depth Competition","Agia Anna","Amorgos, Greece","2018-09-16","2018-09-20","",""
"Red C cup (11th Edition)","https://events.aidainternational.org/EventDetails-2153","Mixed Competition","Aqua Marina","Dahab, Egypt","2018-08-27","2018-08-30","",""
"Vertical Blue","https://events.aidainternational.org/EventDetails-2117","Depth Competition","Dean'S Blue Hole","Long Island, Bahamas","2018-07-16","2018-07-26","",""
"Individual AIDA Pool World Championships Belgrade 2018","https://events.aidainternational.org/EventDetails-2092","World Championship","Sportski Centar Milan Gale Muskatirovic","Belgrade, Serbia","2018-06-23","2018-06-30","",""
"Nice Abyss Contest 2018","https://events.aidainternational.org/EventDetails-2059","Depth Competition","Base Nautique L'Aigle Nautique","Nice, France","2018-06-23","2018-06-24","",""
"AIDA Czech National Championship 2018","https://events.aidainternational.org/EventDetails-2038","Pool Competition","Aquacentrum Pardubice","Pardubice, Czech Republic","2018-05-19","2018-05-20","",""
"Deja Blue 9","https://events.aidainternational.org/EventDetails-2065","Mixed Competition","Deja Blue 9","Grand Cayman, Cayman Islands","2018-05-06","2018-05-13","",""
"VWT World Record Attempt DejaBLue 2018 - Carol Schrappe","https://events.aidainternational.org/EventDetails-2746","Worldrecord attempt","Grand Caymans","Grand Caymans, Cayman Islands","2018-05-06","2018-05-13","Register Now","EventRegistration-391"
"Indoor spring apneacup Lausanne II / Swiss Championship 2018","https://events.aidainternational.org/EventDetails-2055","Pool Competition","",",","2018-05-06","2018-05-07","",""
"NIRVANA OCEANQUEST DEPTH CONTEST 2018","https://events.aidainternational.org/EventDetails-2045","Depth Competition","Nirvana Oceanquest","San Andres, Colombia","2018-05-03","2018-05-04","",""
"5ter Burgebracher Kelch, Deutsche und Bayerische Meisterschaft","https://events.aidainternational.org/EventDetails-2030","Pool Competition","Burgebrach","Burgebrach, Germany","2018-04-28","2018-04-30","",""
"Free2b pool competition","https://events.aidainternational.org/EventDetails-2046","Pool Competition","Wingate Institute","Netanya, Israel","2018-04-20","2018-04-21","",""
"Pan Pacific Championship 2018","https://events.aidainternational.org/EventDetails-2073","Pool Competition","Chiba International General Swimming Center","Chiba, Japan","2018-03-21","2018-03-24","",""
"AIDA Romania Pool Championship 2018","https://events.aidainternational.org/EventDetails-2048","Pool Competition","Paradisul Acvatic","Brasov, Romania","2018-03-09","2018-03-11","",""
"6th Tyrolean Apnea Cup","https://events.aidainternational.org/EventDetails-256","Pool Competition","Alpnoe.Org, Aida Austria","Innsbruck, Austria","2018-02-25","2018-02-26","",""
"12th Open Freediving Championship  - Belgrade 2018","https://events.aidainternational.org/EventDetails-2025","Pool Competition","Src "Milan Gale Muškatirović"","Belgrade, Serbia","2018-02-24","2018-02-25","",""
"RIGA FREEDIVING CUP 2018 WR status","https://events.aidainternational.org/EventDetails-2018","Pool Competition","Kezarmezs Sport And Hotel Center","Riga, Latvia","2018-02-10","2018-02-11","",""
"VIII Barbórkowy Puchar Śląska we Freedivingu | VIII Silesia Freediving Pool Cup","https://events.aidainternational.org/EventDetails-1999","Pool Competition","Pływalnia Kryta Mosir","Rybnik, Poland","2017-12-01","2017-12-02","",""
"Kyiv Freediving Cup 2017","https://events.aidainternational.org/EventDetails-2003","Pool Competition","Pool","Kiev, Ukraine","2017-11-25","2017-11-27","",""
"DYN WR Attempt Kyiv","https://events.aidainternational.org/EventDetails-1973","Worldrecord attempt","Pool "Kupava"","Kyiv, Ukraine","2017-10-18","2017-10-20","",""
"ID: Apnea Competition 2017","https://events.aidainternational.org/EventDetails-1956","Pool Competition","Sekolah Pelita Harapan - Lippo Karawaci","Tangerang, Indonesia","2017-10-13","2017-10-16","",""
"DeepSea Challenge - Carol Schrappe","https://events.aidainternational.org/EventDetails-1912","Worldrecord attempt","",",","2017-09-20","2017-09-23","",""
"Authentic Big Blue","https://events.aidainternational.org/EventDetails-242","Depth Competition","Amorgos Island","Amorgos, Greece","2017-09-18","2017-09-24","",""
"BONAIRE DEEPSEA CHALLENGE 2017","https://events.aidainternational.org/EventDetails-283","Mixed Competition","",",","2017-09-15","2017-09-21","",""
"AIDA World Depth Championship 2017","https://events.aidainternational.org/EventDetails-1955","World Championship","Roatan","Roatan, Honduras","2017-08-22","2017-08-30","",""
"Famele Variable World Record Attempt","https://events.aidainternational.org/EventDetails-1944","Worldrecord attempt","Freediving World Apnea Center","Sharm El Sheikh, Egypt","2017-08-21","2017-08-29","",""
"Caribbean Cup 2017","https://events.aidainternational.org/EventDetails-1954","Depth Competition","Roatan","Roatan, Honduras","2017-08-19","2017-08-22","",""
"DYN World Record Attempt by Giorgos Panagiotakis","https://events.aidainternational.org/EventDetails-1931","Worldrecord attempt","Src Mgm","Belgrade, Serbia","2017-08-01","2017-08-02","",""
"Nice Abyss Contest 2017","https://events.aidainternational.org/EventDetails-199","Depth Competition","Nice","Nice, France","2017-07-20","2017-07-21","",""
